,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance,Ease of Doing Business Score: 0=Lowest Performance To 100=Best Performance
Region,New Zealand,Panama,Peru,Poland,Portugal,Solomon Islands,Sierra Leone,El Salvador,Somalia,Suriname,Sweden,Eswatini,Seychelles,Chad,Togo,Tonga,Tunisia,Tanzania,Vietnam,Vanuatu,South Africa,"Congo, Democratic Republic of",Zambia,Zimbabwe,Oman,Qatar,India,United Kingdom,Thailand,Philippines
Subnational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Source,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
Series ID,359205197,359205257,359205267,359205307,359205337,359205467,359205477,359205487,359205507,359205577,359205607,359205617,359205637,359205667,359205677,359205727,359205747,359205777,359205877,359205887,359205937,359205947,359205957,359205967,359205227,359205377,359204497,359204277,359205687,359205277
SR Code,SR5303634,SR5256167,SR6590051,SR5267064,SR5304433,SR103192807,SR103199477,SR7028680,SR103199637,SR103195097,SR5439026,SR103199817,SR103199367,SR103196197,SR103199977,SR103192957,SR5303399,SR5607435,SR5255931,SR103193097,SR5276326,SR103196457,SR5433317,SR103200127,SR5302131,SR5246704,SR5297957,SR5292577,SR5302906,SR5300645
Trade Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mnemonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Function Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Obs. Date,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
Last Obs. Date,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
Last Update Time,02/01/2022,02/01/2022,02/01/2022,16/02/2022,02/01/2022,02/01/2022,02/01/2022,02/01/2022,02/01/2022,16/02/2022,02/01/2022,02/01/2022,02/01/2022,02/01/2022,02/01/2022,16/02/2022,16/02/2022,02/01/2022,02/01/2022,16/02/2022,02/01/2022,07/02/2022,02/01/2022,02/01/2022,02/01/2022,16/02/2022,16/02/2022,16/02/2022,02/01/2022,02/01/2022
Series remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggestions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,87.018468,65.867784,67.894132,77.15643000000001,76.48872000000001,55.03578,47.18167,63.98762800000001,20.116915999999996,47.225936000000004,81.993546,58.430416,60.835519999999995,36.08608399999999,52.26852,61.41762200000001,66.25694,53.258976000000004,66.64131,60.588982,66.137888,34.951698,63.517218,49.833418,68.36005399999999,66.662066,61.98211,83.398906,76.561156,60.104746
Variance,0.02500172691999967,1.1124454530799994,0.3486263694700014,0.3669331218500007,0.012543394150000262,0.05290001440000078,0.042481489699999354,1.8223027320200047,0.01868628432999992,0.19944984888,0.04721919522999962,0.870310628979998,1.3229452114000013,0.49755256692999783,41.91121947335001,0.04064817766999993,2.746408305250003,4.031906633829999,7.931139368850003,0.4976501167699997,0.5720974247699997,0.6195928853700009,9.267745675519999,7.943550138469992,1.771343597930005,1.500274825479993,51.46741775884999,0.02169522902999949,15.06460130177999,3.2107016252800054
Standard Deviation,0.15811934391465096,1.05472529744953,0.5904459073192069,0.6057500489888554,0.11199729527984263,0.23000003130434737,0.20611038231976417,1.3499269358080106,0.13669778465651855,0.4465980842771272,0.21729978193730343,0.93290440505981,1.1501935538856063,0.7053740617076856,6.473887508549249,0.2016139322318771,1.6572291046352048,2.0079608148143726,2.8162278616706433,0.7054432059138424,0.7563712215374139,0.7871422269005779,3.044297238365531,2.8184304388205135,1.3309183287978286,1.2248570632853422,7.174079575726073,0.14729300400901427,3.881314378117288,1.791843080540259
Skewness,-1.2174677826297915,-0.5145749712039822,0.43403447242898785,-0.0009808242111823537,0.95661215503917,-0.6493701853658858,-0.08658017588450666,-0.533814180511925,0.5051272941950731,-2.217708855343636,-1.5173231596737007,-1.0751583504042017,-1.476545489038067,0.16652313395289706,1.1752030907454911,-0.23818438561149644,0.7910355280992727,-2.1579265521439135,-0.5706754313548961,-2.0878194581586835,-0.0615216018869782,1.3401565476286617,-0.18711186886664896,1.5108234360239512,-0.6802053053638499,1.3257645214233398,0.3102984987242634,0.04549057254349621,-0.5346961133946393,0.943495261996638
Kurtosis,1.620697188015404,-3.1738672872896263,-1.2488120252155142,-1.6604257673394809,1.7211618819197625,-1.62899140711919,0.5103394616872112,-3.073646706790192,-2.6725357886343843,4.935842332919865,2.519505075792493,2.307014265189295,1.577326333586635,-2.3897789516693013,0.13486158812904847,-1.008594848935723,-0.8168004612015141,4.724339488023638,-0.4835547589167266,4.457487366925621,-2.5931613590924316,0.9806188440621675,-2.732557142332632,1.8804684398124962,1.4230716126879983,2.382360988277103,-2.2882294091248436,-2.1148424271725705,-3.0464063652483047,0.32838121022849087
Coefficient Variation,0.001817078001357723,0.016012764258921022,0.008696567581410524,0.007850934121613135,0.0014642328343295928,0.004179100056442325,0.004368441861421272,0.021096686625233403,0.006795166051124266,0.00945662748276979,0.002650205931297366,0.015966075015789893,0.018906611694707406,0.0195469827567792,0.12385825174596964,0.003282672393794033,0.02501215879627409,0.037701829167995506,0.04225949132258419,0.011643093886506334,0.011436277214316457,0.02252085798236692,0.04792869294693498,0.056557036461366415,0.019469240454342368,0.018374123947573755,0.11574435874683958,0.0017661263327484688,0.050695608333255676,0.029812006535062288
Min,86.76465,64.72195,67.22451,76.38122,76.36078,54.71827,46.8995,62.40213,19.9777,46.42834,81.63208,56.9378,58.95821,35.29956,46.92875,61.14383,64.56559,49.69225,62.60371,59.34431,65.32778,34.35533,60.25434,47.79435,66.34092,65.41549,54.52099,83.21535,71.94455,58.23012
Max,87.16633,66.86797,68.69658,77.85723,76.66433,55.26279,47.45831,65.25247,20.28589,47.46427,82.17491,59.49273,61.70497,36.93568,62.28934,61.65064,68.65706,54.46329,69.76594,61.05191,67.01897,36.20973,66.93648,54.46935,69.98474,68.66573,71.04511,83.55123,80.09233,62.82943
Median,87.02213,66.46234,67.76048,76.93317,76.46616,55.11571,47.21918,64.70983,20.04146,47.40665,82.01848,58.62573,61.50211,36.00847,48.7524,61.38921,65.54085,53.98306,66.9796,60.9024,66.24035,34.57002,64.23311,48.58986,68.57321,66.49467,60.9076,83.34108,78.45338,59.33172
No. of Obs,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2015,87.13471,64.72621,67.22451,76.93009,76.36078,54.71827,46.8995,62.40213,20.23995,46.42834,81.63208,56.9378,58.95821,35.29956,46.92875,61.32947,64.56559,49.69225,62.60371,59.34431,66.24035,34.35533,60.45046,47.80355,66.34092,66.49467,54.52099,83.33719,71.94455,58.23012
2016,87.16633,64.72195,67.5175,77.68044,76.66433,55.11571,47.21918,62.65253,20.28589,47.39893,82.15071,58.37605,60.50169,36.00847,48.10323,61.14383,65.54085,53.86676,65.28861,60.9024,65.40686,34.39028,60.25434,47.79435,68.05891,65.41549,55.94046,83.34108,72.79843,59.25872
2017,87.02213,66.46234,67.76048,77.85723,76.50889,54.87857,47.08868,64.70983,19.9777,47.40665,82.17491,58.62573,61.51062,35.52606,48.7524,61.57496,65.29842,53.98306,66.9796,60.92111,65.32778,34.57002,64.23311,48.58986,68.57321,66.02767,60.9076,83.21535,78.45338,59.33172
2018,87.00452,66.86797,68.27159,76.93317,76.44344,55.20356,47.24268,64.92118,20.04146,47.43149,82.01848,58.71977,61.50211,36.66065,55.26888,61.65064,67.22278,54.28952,68.56869,60.72518,66.69548,35.23313,65.7117,50.50998,68.84249,66.70677,67.49639,83.55123,79.51709,60.87374
2019,86.76465,66.56045,68.69658,76.38122,76.46616,55.26279,47.45831,65.25247,20.03958,47.46427,81.99155,59.49273,61.70497,36.93568,62.28934,61.38921,68.65706,54.46329,69.76594,61.05191,67.01897,36.20973,66.93648,54.46935,69.98474,68.66573,71.04511,83.54968,80.09233,62.82943