Year,Mauritius,Mexico,Moldova,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Serbia,Singapore,Slovakia
1845,,,,,,,,,,,,,,,1.328471,,,,,,,,,,,,,,,
1846,,,,,,,,,,,,,,,1.344984,,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,,1.357678,,,,,,,,,,,,,,,
1848,,,,,,,,,,,,,,,1.369089,,,,,,,,,,,,,,,
1849,,,,,,,,,,,,,,,1.384149,,,,,,,,,,,,,,,
1850,,,,,,,,,,,,,,,1.399733,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,1.418073,,,,,,,,,,,,,,,
1852,,,,,,,,,,,,,,,1.43287,,,,,,,,,,,,,,,
1853,,,,,,,,,,,,,,,1.446641,,,,,,,,,,,,,,,
1854,,,,,,,,,,,,,,,1.467398,,,,,,,,,,,,,,,
1855,,,,,,,,,,,,,,,1.490047,,,,,,,,,,,,,,,
1856,,,,,,,,,,,,,,,1.511175,,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,,1.530312,,,,,,,,,,,,,,,
1858,,,,,,,,,,,,,,,1.556076,,,,,,,,,,,,,,,
1859,,,,,,,,,,,,,,,1.583525,,,,,,,,,,,,,,,
1860,,,,,,,,,,,,,,,1.608653,,,,,,,,,,,,,,,
1861,,,,,,,,,,,,,,,1.619102,,,,,,,,,,,,,,,
1862,,,,,,,,,,,,,,,1.634866,,,,,,,,,,,,,,,
1863,,,,,,,,,,,,,,,1.657998,,,,,,,,,,,,,,,
1864,,,,,,,,,,,,,,,1.67851,,,,,,,,,,,,,,,
1865,,,,,,,,,,,,,,,1.701756,,,,,,,,,,,,,,,
1866,,,,,,,,,,,,,,,1.712787,,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,,1.720933,,,,,,,,,,,,,,,
1868,,,,,,,,,,,,,,,1.729242,,,,,,,,,,,,,,,
1869,,,,,,,,,,,,,,,1.732655,,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,,1.741162,,,,,,,,,,,,,,,
1871,,,,,,,,,,,,,,,1.751544,,,,,,,,,,,,,,,
1872,,,,,,,,,,,,,,,1.762313,,,,,,,,,,,,,,,
1873,,,,,,,,,,,,,,,1.776528,,,,,,,,,,,,,,,
1874,,,,,,,,,,,,,,,1.796752,,,,,,,,,,,,,,,
1875,,,,,,,,,,,,,,,1.818853,,,,,,,,,,,,,,,
1876,,,,,,,,,,,,,,,1.838858,,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,,1.864285,,,,,,,,,,,,,,,
1878,,,,,,,,,,,,,,,1.889385,,,,,,,,,,,,,,,
1879,,,,,,,,,,,,,,,1.914867,,,,,,,,,,,,,,,
1880,,,,,,,,,,,,,,,1.923283,,,,,,,,,,,,,,,
1881,,,,,,,,,,,,,,,1.922613,,,,,,,,,,,,,,,
1882,,,,,,,,,,,,,,,1.916921,,,,,,,,,,,,,,,
1883,,,,,,,,,,,,,,,1.921712,,,,,,,,,,,,,,,
1884,,,,,,,,,,,,,,,1.936404,,,,,,,,,,,,,,,
1885,,,,,,,,,,,,,,,1.951429,,,,,,,,,,,,,,,
1886,,,,,,,,,,,,,,,1.965217,,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,,1.974396,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,1.978834,,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,,1.989756,,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,,2.004102,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,2.020905,,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,2.031127,,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,,2.044466,,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,,2.068848,,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,,2.097328,,,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,,2.126024,,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,,2.157418,,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,,2.190196,,,,,,,,,,,,,,,
1899,,,,,,,,,,,5.104,,,,2.217971,,,,,,,,,,,,,,,
1900,,,,,,,,,,,5.163,,,,2.242995,,,,,,,,,,,,,,,
1901,,,,,,,,,,,5.233,,,,2.266827,,,,,,,,,,,,,,,
1902,,,,,,,,,,,5.307,,,,2.284143,,,,,,,,,,,,,,,
1903,,,,,,,,,,,5.384,,,,2.291392,,,,,,,,,,,,,,,
1904,,,,,,,,,,,5.46,,,,2.303595,,,,,,,,,,,,,,,
1905,,,,,,,,,,,5.537,,,,2.313549,,,,,,,,,,,,,,,
1906,,,,,,,,,,,5.616,,,,2.324832,,,,,,,,,,,,,,,
1907,,,,,,,,,,,5.696,,,,2.333092,,,,,,,,,,,,,,,
1908,,,,,,,,,,,5.772,,,,2.358036,,,,,,,,,,,,,,,
1909,,,,,,,,,,,5.858,,,,2.376952,,,,,,,,,,,,,,,
1910,,,,,,,,,,,5.951,,,,2.390402,,,,,,,,,,,,,,,
1911,,,,,,,,,,,6.033,,,,2.41119,,,,,,,,,,,,,,,
1912,,,,,,,,,,,6.133,,,,2.435178,,,,,,,,,,,,,,,
1913,,,,,,,,,,,6.235,,,,2.458569,,,,,,,,,,,,,,,
1914,,,,,,,,,,,6.34,,,,2.483269,,,,,,,,,,,,,,,
1915,,,,,,,,,,,6.433,,,,2.509263,,,,,,,,,,,,,,,
1916,,,,,,,,,,,6.527,,,,2.535092,,,,,,,,,,,,,,,
1917,,,,,,,,,,,6.618,,,,2.565994,,,,,,,,,,,,,,,
1918,,,,,,,,,,,6.675,,,,2.589463,,,,,,,,,,,,,,,
1919,,,,,,,,,,,6.754,,,,2.616274,,,,,,,,,,,,,,,
1920,,,,,,,,,,,6.865,,,,2.653054,,,,,,,,,,,,,,,
1921,,,,,,,,,,,6.978,,,,2.68268,,,,,,,,,,,,,,,
1922,,,,,,,,,,,7.081,,,,2.707,,,,,,,,,,,,,,,
1923,,,,,,,,,,,7.196,,,,2.719233,,,,,,,,,,,,,,,
1924,,,,,,,,,,,7.308,,,,2.738298,,,,,,,,,,,,,,,
1925,,,,,,,,,,,7.416,,,,2.755331,,,,,,,,,,,,,,,
1926,,,,,,,,,,,7.522,,,,2.77088,,,,,,,,,,,,,,,
1927,,,,,,,,,,,7.621,,,,2.778851,,,,,,,,,,,,,,,
1928,,,,,,,,,,,7.728,,,,2.790497,,,,,,,,,,,,,,,
1929,,,,,,,,,,,7.825,,,,2.799713,,,,,,,,,,,,,,,
1930,,,,,,,,,,,7.936,,,,2.815164,,,,,,,,,,14.141,,,,,
1931,,,,,,,,,,,8.062,,,,2.832599,,,,,,,,,,14.355,,,,,
1932,,,,,,,,,,,8.183,,,,2.850457,,,,,,,,,,14.554,,,,,
1933,,,,,,,,,,,8.29,,,,2.866229,,,,,,,,,,14.73,,,,,
1934,,,,,,,,,,,8.392,,,,2.882182,,,,,,,,,,14.924,,,,,
1935,,,,,0.0007382,,,,,,8.475,,,,2.896239,,,,,,,,,,15.069,,,,,
1936,,,,,0.0007379,,,,,,8.557,,,,2.910798,,,,,,,,,,15.256,,,,,
1937,,,,,0.00074,,,,,,8.64,,,,2.926686,,,,,,,,,,15.434,,,,,
1938,,,,,0.0007476,,,,,,8.729,,,,2.94492,,,,,,,,,,15.601,,,,,
1939,,,,,0.0007364,,,,,,8.834,,,,2.963909,,,,,,,,,,15.751,,,,,
1940,,,,,0.0007386,,,,,,8.923,,,,2.982224,,,,,,,,,,15.907,,,,,
1941,,,,,0.0007438,,,,,,9.008,,,,2.998244,,,,,,,,,,,,,,,
1942,,,,,0.000749,,,,,,9.076,,,,3.019521,,,,,,,,,,,,,,,
1943,,,,,0.0007542,,,,,,9.129,,,,3.045337,,,,,,,,,,,,,,,
1944,,,,,0.0007591,,,,,,9.22,,,,3.075084,,,,,,,,,,,,,,,
1945,,,,,0.0007593,,,,,,9.304,,,,3.107269,,,,,,,,,,,,,,,3.425775
1946,,,,,0.0007594,,,,,,9.543,,,,3.146497,,,,,,,23.64,,,15.791,,,,,3.385754
1947,,,,,0.0007597,,,,,,9.716,,,,3.183525,,,,,,,23.754,,,15.849,,,,,3.425144
1948,,,,,0.0007592,,,,,,9.884,,,,3.218499,,,,,,,24.211,,,15.893,,,,,3.446009
1949,,,,,0.0007587,,,,,,10.027,,,,3.249954,,,,,7.63245981,,24.613,,,16.084,101.438,,,,3.447085
1950,,,,,,,,,,,,,,,,,37.54237,0.859658,,,,,,,,,3.859801,,1.0221,
1950,,,,,,,,,,8.483322,,,,,,,,,,,,,,,,,,,,
1950,0.48127,28.114127,,2.336432,0.000758,,,5.958982,17.779635,,10.2,1.90831,37.85975,1.224627,3.280296,,,,1.473241,7.826262,18.580483,25.035,,,16.311,102.945,,,,3.48553
1951,,,,,,,,,,,,,,,,,37.992884,0.881829,,,,,,,,,3.931753,,1.0681,
1951,,,,,,,,,,8.663602,,,,,,,,,,,,,,,,,,,,
1951,0.498593,28.812644,,2.422094,0.0007724,,,6.059446,18.10397,,10.328,1.947389,38.424142,1.255619,3.311446,,,,1.51185,8.025721,19.246603,25.507,,,16.464,104.587,,,,3.533282
1952,,,,,,,,,,,,,,,,,38.516514,0.90505,,,,,,,,,4.005677,,1.127,
1952,,,,,,,,,,8.834698,,,,,,,,,,,,,,,,,,,,
1952,0.516556,29.509299,,2.46674,0.0007861,,,6.165054,18.440675,,10.436,1.994794,39.035435,1.271611,3.34401,,,,1.550983,8.232177,19.945269,25.999,,,16.63,106.715,,,,3.576852
1953,,,,,,,,,,,,,,,,,39.10909,0.929425,,,,,,,,,4.081572,,1.1918,
1953,,,,,,,,,,8.999194,,,,,,,,,,,,,,,,,,,,
1953,0.536057,30.277521,,2.505504,0.0007999,,,6.275232,18.792741,,10.551,2.047391,39.686159,1.299452,3.377766,,,,1.590868,8.446997,20.669608,26.511,,,16.847,108.43,,,,3.629425
1954,,,,,,,,,,,,,,,,,39.767169,0.954952,,,,,,,,,4.160424,,1.2482,
1954,,,,,,,,,,9.15932,,,,,,,,,,,,,,,,,,,,
1954,0.553977,31.061184,,2.565909,0.0008136,,,6.389675,19.162186,,10.68,2.092779,40.370853,1.325223,3.410726,,,,1.631711,8.671541,21.414578,27.012,,,17.04,110.537,,,,3.69456
1955,,,,,,,,,,,,,,,,,40.488032,0.981686,,,,,,,,,4.243218,,1.3055,
1955,,,,,,,,,,9.316916,,,,,,,,,,,,,,,,,,,,
1955,0.571669,31.953061,,2.622424,0.0008273,,,6.5084,19.550067,,10.822,2.136168,41.0861,1.340031,3.445673,,,,1.673667,8.904891,22.17706,27.55,,,17.325,112.266,,,,3.756495
1956,,,,,,,,,,,,,,,,,41.269721,1.009696,,,,,,,,,4.32897,,1.3716,
1956,,,,,,,,,,9.473411,,,,,,,,,,,,,,,,,,,,
1956,0.591764,32.889947,,2.682168,0.0008455,,,6.631668,19.956404,,10.957,2.178289,41.830617,1.339977,3.47589,,,,1.716878,9.14615563,22.955908,28.08,,,17.583,114.017,,,,3.816037
1957,,,,,,,,,,,,,,,,,42.111011,1.039038,,,,,,,,,4.41965,,1.445929,
1957,,,,,,,,,,9.629865,,,,,,,,,,,,,,,,,,,,
1957,0.609816,33.872763,,2.75894,0.000862,,,6.760108,20.38022,,11.096,2.229407,42.60512,1.344846,3.507986,,,,1.761454,9.39668969,23.75187,28.54,,,17.829327,115.665,,,,3.870481
1958,,,,,,,,,,,,,,,,,43.011324,1.069783,,,,,,,,,4.514271,,1.5188,
1958,,,,,,,,,,9.786976,,,,,,,,,,,,,,,,,,,,
1958,0.62766,34.891617,,2.838489,0.0008848,,,6.894491,20.819752,,11.278,2.281533,43.412094,1.344772,3.538001,,,,1.807458,9.6578329,24.567266,29,,,18.055948,117.534,,,,3.924851
1959,,,,,,,,,,,,,,,,,43.97056,1.101997,,,,,,,,,4.613822,,1.5872,
1959,,,,,,,,,,9.945213,,,,,,,,,,,,,,,,,,,,
1959,0.645313,35.964404,,2.919316,0.0009096,,,7.035799,21.272677,,11.417,2.331122,44.255337,1.353539,3.567707,,,,1.854966,9.930965,25.405531,29.4799,,,18.22583,119.046,,,,3.969682
1960,,,,,,,,,,,,,,,,,44.98869,1.135703,,,,,,,,,4.718301,,1.6464,
1960,,,,,,,,,,10.10506,,,,,,,,,,,,,,,,,,,,
1960,0.663229,37.09123,,2.998981,0.0009369,,11.635,7.18487,21.736947,,11.556,2.371746,45.13846,1.366198,3.594771,,,,1.90399,10.21747502,26.269741,29.7952,8.857716,,18.403414,120.766,,,,4.018405
1961,,,,,,,,,,,,,,,,,46.065229,1.170572,,,,,,,,,4.827708,,1.7024,
1961,,,,,,,,,,10.26726,,,,,,,,,,,,,,,,,,,,
1961,0.681284,38.265509,,3.068962,0.0009681,,11.897,7.342117,22.211626,,11.721,2.43245,46.06357,1.381753,3.624829,,,,1.954552,10.516454,27.161052,30.1332,8.929316,,18.566932,122.407,,,,4.216827
1962,,,,,,,,,,,,,,,,,47.198886,1.206608,,,,,,,,,4.943029,,1.7502,
1962,,,,,,,,,,10.433147,,,,,,,,,,,,,,,,,,,,
1962,0.701016,39.496641,,3.136438,0.000998,,12.177,7.507309,22.697664,,11.89,2.48855,47.029818,1.401167,3.653006,,,,2.006675,10.825811,28.077345,30.4836,8.993985,,18.680721,123.848,,,,4.259549
1963,,,,,,,,,,,,,,,,,48.387293,1.243015,,,,,,,,,5.065249,,1.795,
1963,,,,,,,,,,10.60462,,,,,,,,,,,,,,,,,,,,
1963,0.71514,40.770828,,3.204914,0.0010171,,12.473,7.679465,23.198238,,12.042,2.54135,48.032932,1.42247,3.680068,,,,2.06034,11.14342746,29.01263,30.9397,9.030355,,18.813131,125.179,,,,4.304484
1964,,,,,,,,,,,,,,,,,49.627623,1.280333,,,,,,,,,5.192398,,1.8416,
1964,,,,,,,,,,10.783958,,,,,,,,,,,,,,,,,,,,
1964,0.736182,42.087735,,3.271001,0.0010452,,12.785,7.857107,23.717785,,12.212,2.59195,49.066762,1.444676,3.708609,,,,2.115573,11.467225,29.958687,31.3389,9.035365,,18.927081,126.309,,,,4.350198
1965,,,,,,,,,,,,,,,,,50.917975,1.318567,,,,,,,,,5.327432,,1.8869,
1965,,,,,,,,,,10.972912,,,,,,,,,,,,,,,,,,,,
1965,0.755528,43.456593,,3.333549,0.001076,,13.112,8.039217,24.259356,,12.377,2.6404,50.12792,1.469729,3.737726,,,,2.172309,11.79631347,30.909997,31.551,8.998595,,19.027367,127.189,,,,4.391768
1966,,,,,,,,,,,,,,,,,52.260183,1.357739,,,,,,,,,5.469365,,1.9344,
1966,,,,,,,,,,11.17253,,,,,,,,,,,,,,,,,,,,
1966,0.77416,44.85749,,3.39416,0.0011044,,13.454,8.225919,24.823937,,12.535,2.68755,51.217969,1.489836,3.768298,,,,2.230733,12.1321209,31.864175,31.8106,8.93099,,19.140783,128.026,,,,4.431564
1967,,,,,,,,,,,,,,,,,53.655783,1.397854,,,,,,,,,5.618198,,1.9776,
1967,,,,,,,,,,11.382965,,,,,,,,,,,,,,,,,,,,
1967,0.789309,46.288625,,3.452263,0.0011344,,13.809,8.417698,25.410054,,12.661,2.72815,52.342231,1.511816,3.80078,,,,2.290797,12.475921,32.82397,32.1633,8.87452,,19.284814,128.696,,,,4.46717
1968,,,,,,,,,,,,,,,,,55.10269,1.438933,,,,,,,,,5.774916,,2.012,
1968,,,,,,,,,,11.603921,,,,,,,,,,,,,,,,,,,,
1968,0.804177,47.75962,,3.505944,0.0011645,,14.178,8.614445,26.015239,,12.798,2.759,53.506201,1.532751,3.832192,,,,2.351926,12.829004,33.795203,32.4257,8.83665,,19.720984,129.379,,,,4.500659
1969,,,,,,,,,,,,,,,,,56.598148,1.480988,,,,,,,,,5.938534,,2.0425,
1969,,,,,,,,,,11.834657,,,,,,,,,,,,,,,,,,,,
1969,0.816027,49.255903,,3.569846,0.0011976,,14.559,8.816056,26.635852,,12.958,2.7885,54.717035,1.553615,3.863221,,,,2.413396,13.192677,34.786309,32.6706,8.757705,,20.010178,130.079,,,,4.536555
1970,,,,,,,,,,,,,,,,,58.142062,1.524445,,,,,,,,,6.109051,,2.074507,
1970,,,,,,,,,,12.074628,,,,,,,,,,,,,,,,,,,,
1970,0.829511,50.790277,,3.622843,0.0012305,,14.952,9.022747,27.269063,,13.119,2.82805,55.982142,1.574407,3.888305,,,,2.474757,13.567714,35.803591,32.657711,8.680431,,20.252541,130.704,,,,4.53989
1971,,,,,,,,,,,,,,,,,59.734479,1.568674,,,,,,,,,6.287454,,2.1129,
1971,,,,,,,,,,12.323984,,,,,,,,,,,,,,,,,,,,
1971,0.841079,52.327702,,3.675302,0.0012654,,15.357,9.232655,27.913749,,13.27,2.8753,57.296988,1.596091,3.917773,,,,2.535877,13.953235,36.849678,32.909093,8.643756,,20.469658,131.445,,,,4.575007
1972,,,,,,,,,,,,,,,,,61.381982,1.613452,,,,,,,,,6.472756,,2.1524,
1972,,,,,,,,,,12.583142,,,,,,,,,,,,,,,,,,,,
1972,0.851334,53.936173,,3.728687,0.0013014,,15.772,9.446235,28.570093,,13.388,2.9291,58.665813,1.617701,3.948234,,,,2.597149,14.348084,37.9234,33.20229,8.63043,,20.662648,132.21,,,,4.618236
1973,,,,,,,,,,,,,,,,,63.099404,1.658734,,,,,,,,,6.666928,,2.193,
1973,,,,,,,,,,12.852205,,,,,,,,,,,,,,,,,,,,
1973,0.861239,55.577989,,3.772597,0.0013395,,16.196,9.668655,29.238168,,13.491,2.9923,60.114615,1.639236,3.97299,,,,2.659418,14.751106,39.022759,33.512156,8.6331,,20.827525,132.941,,,,4.664653
1974,,,,,,,,,,,,,,,,,64.905996,1.704363,,,,,,,,,6.938202,,2.2298,
1974,,,,,,,,,,13.13126,,,,,,,,,,,,,,,,,,,,
1974,0.873292,57.247856,,3.821748,0.0013807,,16.63,9.906963,29.918469,,13.599,3.0584,61.677167,1.661657,3.997525,,,,2.723816,15.161146,40.14425,33.845698,8.754365,,21.028841,133.775,,,,4.714593
1975,,,,,,,,,,,,,,,,,66.816875,1.750317,,,,,,,,,7.28701,,2.2626,
1975,,,,,,,,,,13.420367,,,,,,,,,,,,,,,,,,,,
1975,0.885461,58.943497,,3.86141,0.0014244,,17.072,10.165216,30.611093,,13.734,3.1178,63.374289,1.684,4.017101,,,,2.791236,15.580807,39.903002,34.184738,9.09347,,21.245103,134.69,,,,4.763617
1976,,,,,,,,,,,,,,,,,68.834324,1.796453,,,,,,,,,7.653352,,2.2933,
1976,,,,,,,,,,13.719466,,,,,,,,,,,,,,,,,,,,
1976,0.897811,60.638291,,3.897627,0.0014669,,17.521,10.443954,31.314347,,13.814,3.15355,65.221379,1.706445,4.035202,,,,2.861868,16.010843,,34.527892,9.35581,,21.445698,135.645,,,,4.815396
1977,,,,,,,,,,,,,,,,,70.958168,1.842719,,,,,,,,,8.038114,,2.3253,
1977,,,,,,,,,,14.028535,,,,,,,,,,,,,,,,,,,,
1977,0.913025,62.31061,,3.927781,0.0015124,,17.978,10.738534,32.026748,,13.898,3.1649,67.203134,1.727797,4.051208,0.901,,,2.93571,16.44737,,34.850228,9.455675,,21.657569,136.596,,,,4.865605
1978,,,,,,,,,,,,,,,,,73.197254,1.889061,,,,,,,,,8.442219,,2.3536,
1978,,,,,,,,,,14.347653,,,,,,,,,,,,,,,,,,,,
1978,0.929367,63.964579,,3.949756,0.0015536,,18.44,11.041206,32.748782,,13.986,3.1658,69.271915,1.747113,4.066134,0.928,,,3.013281,16.886456,,35.080682,9.55825,,21.854622,137.551,,,,4.914644
1979,,,,,,,,,,,,,,,,,75.561128,1.935383,,,,,,,,,8.866639,,2.3835,
1979,,,,,,,,,,14.676932,,,,,,,,,,,,,,,,,,,,
1979,0.94664,65.608724,,3.989105,0.001595,,18.908,11.341405,33.481397,,14.091,3.16455,71.361141,1.768203,4.0789,0.986,,,3.095151,17.324179,,35.413434,9.661265,,22.048305,138.291,,,,4.963301
