Year,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Syrian Arab Republic,Taiwan,Tajikistan,Thailand,Tunisia
1800,,,,,,,,,,,,,,,,,,2.347303,,,,,,
1801,,,,,,,,,,,,,,,,,,2.354952,,,,,,
1802,,,,,,,,,,,,,,,,,,2.372216,,,,,,
1803,,,,,,,,,,,,,,,,,,2.388619,,,,,,
1804,,,,,,,,,,,,,,,,,,2.403814,,,,,,
1805,,,,,,,,,,,,,,,,,,2.422039,,,,,,
1806,,,,,,,,,,,,,,,,,,2.428734,,,,,,
1807,,,,,,,,,,,,,,,,,,2.439599,,,,,,
1808,,,,,,,,,,,,,,,,,,2.427592,,,,,,
1809,,,,,,,,,,,,,,,,,,2.394101,,,,,,
1810,,,,,,,,,,,,,,,,,,2.396351,,,,,,
1811,,,,,,,,,,,,,,,,,,2.411382,,,,,,
1812,,,,,,,,,,,,,,,,,,2.41878,,,,,,
1813,,,,,,,,,,,,,,,,,,2.423949,,,,,,
1814,,,,,,,,,,,,,,,,,,2.438241,,,,,,
1815,,,,,,,,,,,,,,,,,,2.465066,,,,,,
1816,,,,,,,,,,,,,,,,,,2.497484,,,,,,
1817,,,,,,,,,,,,,,,,,,2.521442,,,,,,
1818,,,,,,,,,,,,,,,,,,2.546411,,,,,,
1819,,,,,,,,,,,,,,,,,,2.56178,,,,,,
1820,,,,,,,,,,,,,,,,,,2.58469,,,,,,
1821,,,,,,,,,,,,,,,,,,2.61087,,,,,,
1822,,,,,,,,,,,,,,,,,,2.646314,,,,,,
1823,,,,,,,,,,,,,,,,,,2.689031,,,,,,
1824,,,,,,,,,,,,,,,,,,2.726877,,,,,,
1825,,,,,,,,,,,,,,,,,,2.771252,,,,,,
1826,,,,,,,,,,,,,,,,,,2.804926,,,,,,
1827,,,,,,,,,,,,,,,,,,2.827719,,,,,,
1828,,,,,,,,,,,,,,,,,,2.846788,,,,,,
1829,,,,,,,,,,,,,,,,,,2.863132,,,,,,
1830,,,,,,,,,,,,,,,,,,2.888082,,,,,,
1831,,,,,,,,,,,,,,,,,,2.901039,,,,,,
1832,,,,,,,,,,,,,,,,,,2.922801,,,,,,
1833,,,,,,,,,,,,,,,,,,2.959141,,,,,,
1834,,,,,,,,,,,,,,,,,,2.983055,,,,,,
1835,,,,,,,,,,,,,,,,,,3.025439,,,,,,
1836,,,,,,,,,,,,,,,,,,3.059356,,,,,,
1837,,,,,,,,,,,,,,,,,,3.076184,,,,,,
1838,,,,,,,,,,,,,,,,,,3.090262,,,,,,
1839,,,,,,,,,,,,,,,,,,3.106459,,,,,,
1840,,,,,,,,,,,,,,,,,,3.138887,,,,,,
1841,,,,,,,,,,,,,,,,,,3.17316,,,,,,
1842,,,,,,,,,,,,,,,,,,3.206776,,,,,,
1843,,,,,,,,,,,,,,,,,,3.236632,,,,,,
1844,,,,,,,,,,,,,,,,,,3.275133,,,,,,
1845,,,,,,,,,,,,,,,,,,3.316536,,,,,,
1846,,,,,,,,,,,,,,,,,,3.342927,,,,,,
1847,,,,,,,,,,,,,,,,,,3.362072,,,,,,
1848,,,,,,,,,,,,,,,,,,3.397454,,,,,,
1849,,,,,,,,,,,,,,,,,,3.441286,,,,,,
1850,,,,,,,,,,,,,,,,,,3.482541,,,,,,
1851,,,,,,,,,,,,,,,,,,3.516647,,,,,,
1852,,,,,,,,,,,,,,,,,,3.540409,,,,,,
1853,,,,,,,,,,,,,,,,,,3.563316,,,,,,
1854,,,,,,,,,,,,,,,,,,3.608124,,,,,,
1855,,,,,,,,,,,,,,,,,,3.641011,,,,,,
1856,,,,,,,,,,,,,,,,,,3.672988,,,,,,
1857,,,,,,,,,,,,,,,,,,3.687601,,,,,,
1858,,,,,,,,,,,,,,,,,,3.73424,,,,,,
1859,,,,,,,,,,,,,,,,,,3.787735,,,,,,
1860,,,,,,,,,,,,,,,,,,3.859728,,,,,,
1861,,,,,,,,,,,,,,,,,,3.917339,,,,,,
1862,,,,,,,,,,,,,,,,,,3.965899,,,,,,
1863,,,,,,,,,,,,,,,,,,4.022564,,,,,,
1864,,,,,,,,,,,,,,,,,,4.070061,,,,,,
1865,,,,,,,,,,,,,,,,,,4.114141,,,,,,
1866,,,,,,,,,,,,,,,,,,4.160677,,,,,,
1867,,,,,,,,,,,,,,,,,,4.195681,,,,,,
1868,,,,,,,,,,,,,,,,,,4.17308,,,,,,
1869,,,,,,,,,,,,,,,,,,4.158757,,,,,,
1870,,,,,,,,,,,,,,,,,,4.168525,,,,,,
1871,,,,,,,,,,,,,,,,,,4.204177,,,,,,
1872,,,,,,,,,,,,,,,,,,4.250412,,,,,,
1873,,,,,,,,,,,,,,,,,,4.297972,,,,,,
1874,,,,,,,,,,,,,,,,,,4.341559,,,,,,
1875,,,,,,,,,,,,,,,,,,4.383291,,,,,,
1876,,,,,,,,,,,,,,,,,,4.429713,,,,,,
1877,,,,,,,,,,,,,,,,,,4.484542,,,,,,
1878,,,,,,,,,,,,,,,,,,4.531863,,,,,,
1879,,,,,,,,,,,,,,,,,,4.578901,,,,,,
1880,,,,,,,,,,,,,,,,,,4.565668,,,,,,
1881,,,,,,,,,,,,,,,,,,4.572245,,,,,,
1882,,,,,,,,,,,,,,,,,,4.579115,,,,,,
1883,,,,,,,,,,,,,,,,,,4.603595,,,,,,
1884,,,,,,,,,,,,,,,,,,4.644448,,,,,,
1885,,,,,,,,,,,,,,,,,,4.682769,,,,,,
1886,,,,,,,,,,,,,,,,,,4.717189,,,,,,
1887,,,,,,,,,,,,,,,,,,4.734901,,,,,,
1888,,,,,,,,,,,,,,,,,,4.748257,,,,,,
1889,,,,,,,,,,,,,,,,,,4.774409,,,,,,
1890,,,,,,,,,,,,,,,,,,4.784981,,,,,,
1891,,,,,,,,,,,,,,,,,,4.802751,,,,,,
1892,,,,,,,,,,,,,,,,,,4.806865,,,,,,
1893,,,,,,,,,,,,,,,,,,4.82415,,,,,,
1894,,,,,,,,,,,,,,,,,,4.873183,,,,,,
1895,,,,,,,,,,,,,,,,,,4.91926,,,,,,
1896,,,,,,,,,,,,,,,,,,4.962568,,,,,,
1897,,,,,,,,,,,,,,,,,,5.009632,,,,,,
1898,,,,,,,,,,,,,,,,,,5.062918,,,,,,
1899,,,,,,,,,,,,,,,,,,5.097402,,,,,,
1900,,,,,76.094,,,,,,,,,,,,,5.136441,,,,,,
1901,,,,,77.584,,,,,,,,,,,,,5.175228,,,,,,
1902,,,,,79.163,,,,,,,,,,,,,5.198752,,,,,,
1903,,,,,80.632,,,,,,,,,,,,,5.221291,,,,,,
1904,,,,,82.166,,,,,,,,,,,,,5.260811,,,,,,
1905,,,,,83.822,,,,,,,,,,,,,5.294885,,,,,,
1906,,,,,85.45,,,,,,,,,,,,,5.337055,,,,,,
1907,,,,,87.008,,,,,,,,,,,,,5.377713,,,,,,
1908,,,,,88.71,,,,,,,,,,,,,5.4296,,,,,,
1909,,,,,90.49,,,,,,,,,,,,,5.476441,,,,,,
1910,,,,,92.407,,,,,,,,,,,,,5.522403,,,,,,
1911,,,,,93.863,,,,,,,,,,,,,5.561799,,,,,,
1912,,,,,95.335,,,,,,,,,,,,,5.604192,,,,,,
1913,,,,,97.225,,,,,,,,,,,,,5.638583,,,,,,
1914,,,,,99.111,,,,,,,,,,,,,5.679607,,,,,,
1915,,,,,100.546,,,,,,,,,,,,,5.71274,,,,,,
1916,,,,,101.961,,,,,,,,,,,,,5.757566,,,,,,
1917,,,,,103.268,,,,,,,,,,,,,5.800847,,,,,,
1918,,,,,103.208,,,,,,,,,,,,,5.81385,,,,,,
1919,,,,,104.514,,,,,,,,,,,,,5.847037,,,,,,
1920,,,,,106.461,,,,,,,1.301172,,,,,,5.904489,,,,,,
1921,,,,,108.538,,,,,,,1.306529,,,,,,5.954316,,,,,,
1922,,,,,110.049,,,,,,,1.314182,,,,,,5.98752,,,,,,
1923,,,,,111.947,,,,,,,1.323284,,,,,,6.005759,,,,,,
1924,,,,,114.109,,,,,,,1.333597,,,,,,6.036118,,,,,,
1925,,,,,115.829,,,,,,,1.343063,,,,,,6.053562,,,,,,
1926,,,,,117.397,,,,,,,1.351418,,,,,,6.074368,,,,,,
1927,13.554,,,,119.035,,,,,,,1.359383,,,,,,6.087923,,,,,,
1928,13.843,,,,120.509,,,,,,,1.367682,,,,,,6.10519,,,,,,
1929,14.138,,,,121.767,,,,,,,1.373082,,,,,,6.12008,,,,,,
1930,14.44,,,,123.077,,,,,,,1.383984,,,,,,6.142191,,,,,,
1931,14.748,,,,124.04,,,,,,,1.392466,,,,,,6.162446,,,,,,
1932,15.062,,,,124.84,,,,,,,1.402883,,,,,,6.190364,,,,,,
1933,15.383,,,,125.579,,,,,,,1.413017,,,,,,6.211566,,,,,,
1934,15.711,,,,126.374,,,,,,,1.423451,,,,,,6.23309,,,,,,
1935,16.046,,,,127.25,,,,,,,1.431966,,,,,,6.250506,,,,,,
1936,16.352,,,,128.053,,,,,,,1.440103,,,,,,6.266888,,,,,,
1937,16.637,,,,128.825,,,,,,,1.44298,,,,,,6.284722,,,,,,
1938,16.926,,,,129.825,,,,,,,1.445503,,,,,,6.310214,,,,,,
1939,17.429,,,,130.88,,,,,,,1.448991,,,,,,6.341303,,,,,,
1940,17.728,,,,132.122,,,,,,,1.451673,,,,,,6.371432,,,,,,
1941,17.952,,,,133.402,,,,,,,1.452659,,,,,,6.406474,,,,,,
1942,18.143,,,,134.86,,,,,,,1.444562,,,,,,6.4582,,,,,,
1943,18.337,,,,136.739,,,,,,,1.436468,,,,,,6.522827,,,,,,
1944,18.532,,,,138.397,,,,,,,1.423942,,,,,,6.597348,,,,,,
1945,18.729,,,,139.928,,,,,,,1.408681,,,,,,6.673749,,,,,,
1946,19.074,,,48.939,141.389,,,,,,,1.421631,,,,,,6.763685,,,,,,
1947,19.493,,,49.29,145.122,,,,,,,1.4369,,,,,,6.842046,,,,,,
1948,,,,,,,,,,,,,,,,7.086,,,,,,,,
1948,19.922,,,49.732,147.607,,,,,,,1.44755,,,,,,6.924888,,,,,,
1949,,,,,,,,,,,,,,,,7.297,,,,,,,,
1949,20.359,,,50.028,150.167,,,,,,,1.459622,,,,,,6.986181,,,,,,
1950,,,,,,,,5.481976,,,,,,,,7.544,,,,,,,,
1950,20.807,37.29764,0.069594,50.28,152.658,2.238501,6.264058,,,4.661279,2.310436,1.474149,,,28.069734,,,7.041829,4.7172,3.495,7.981454,1.530047,20.710353,
1951,,,,,,,,5.72661,,,,,,,,7.742,,,,,,,,
1951,21.351,37.81554,0.067466,50.289,155.344,2.26134,6.470057,,,4.717141,2.368607,1.486341,,,28.21962,,,7.09874,4.7789,3.576406,8.251326,1.584833,21.26346,
1952,,,,,,,,5.974437,,,,,,,,7.94,,,,,,,,
1952,21.952,38.360078,0.069235,50.451,157.986,2.286261,6.667892,,,4.776184,2.431341,1.500759,,,28.399033,,,7.150606,4.8441,3.661198,8.550362,1.640949,21.838302,
1953,,,,,,,,6.22629,,,,,,,,8.098,,,,,,,,
1953,22.569,38.915814,0.072771,50.593,160.639,2.313211,6.864761,,,4.837606,2.498457,1.515228,,,28.60036,,,7.192316,4.907,3.749575,8.849962,1.684446,22.436798,
1954,,,,,,,,6.482858,,,,,,,,8.385,,,,,,,,
1954,23.204,39.471403,0.076523,50.765,163.524,2.342041,7.066455,,,4.900843,2.569747,1.527741,,,28.818012,,,7.234664,4.9703,3.841238,9.159966,1.729862,23.060601,
1955,,,,,,,,6.744704,,,,,,,,8.589,,,,,,,,
1955,23.857,40.019483,0.079579,50.946,166.419,2.372564,7.277336,,25.074,4.965567,2.644976,1.540255,,,29.048392,,,7.290112,5.0337,3.937503,9.485858,1.78085,23.711122,
1956,,,,,,,,7.012177,,,,,,,,8.929,,,,,,,,
1956,24.54,40.557034,0.081624,51.184,169.416,2.404491,7.500307,,26.902,5.031695,2.723867,1.550957,,20.724,29.290079,,,7.338991,5.0974,4.039815,9.825346,1.836703,24.389546,
1957,,,,,,,,7.285566,,,,,,,,9.165,,,,,,,,
1957,25.25,41.085019,0.082963,51.43,172.417,2.437496,7.73686,,27.723,5.099348,2.806165,1.562088,,21.321,29.543626,,,7.388611,5.1628,4.148518,9.748526,1.898639,25.096799,
1958,,,,,,,,7.564987,,,,,,,,9.388,,,,,,,,
1958,25.981,41.607893,0.08442,51.652,175.288,2.471144,7.987252,,28.491,5.16887,2.89158,1.571873,,21.91,29.811311,,,7.429675,5.23,4.266114,10.091928,1.953527,25.833567,
1959,,,,,,,,7.85042,,,,,,,,9.625,,,,,,,,
1959,26.733,42.13244,0.087188,51.956,178.268,2.505007,8.250719,,29.361,5.240716,2.979844,1.580535,,22.974,30.096577,,,7.462823,5.2955,4.393189,10.484725,2.009483,26.600323,
1960,,,,,,,,8.141839,,,,,16.520441,,,9.869,,,,,,,,
1960,27.506,42.664646,0.092417,52.372,182.019,2.538648,8.526299,,30.172,5.315351,3.07078,1.588904,,25.012374,30.402413,,,7.497967,5.360153,4.530388,10.850685,2.080556,27.397208,4.195467
1961,,,,,,,,8.439261,,,,,16.989464,,,10.168,,,,,,,,
1961,28.227,43.206353,0.100801,52.807,184.894,2.571682,8.813619,,31.16,5.393034,3.16433,1.599357,,25.765673,30.72965,,,7.542028,5.508435,4.678688,11.210084,2.163433,28.224186,4.236386
1962,,,,,,,,8.74278,,,,,17.503133,,,10.443,,,,,,,,
1962,28.931,43.752227,0.112112,53.292,187.68,2.603883,9.113629,,32.035,5.473671,3.260645,1.607941,,26.51303,31.075475,,,7.581148,5.639195,4.831844,11.574942,2.253472,29.080945,4.281744
1963,,,,,,,,9.052632,,,,,18.042215,,,10.582,,,,,,,,
1963,29.652,44.288607,0.12513,53.625,190.362,2.635125,9.428906,,32.997,5.556767,3.360099,1.626,,27.261747,31.432768,,,7.627507,5.749299,4.990013,11.94926,2.339558,28.476777,4.332926
1964,,,,,,,,9.369101,,,,,18.603097,,,10.903,,,,,,,,
1964,30.391,44.796959,0.138049,53.991,192.938,2.665383,9.762819,,33.913,5.641598,3.463211,1.638227,,27.984155,31.791938,,,7.6952,5.829156,5.153361,12.325025,2.424081,29.555198,4.389417
1965,,,,,,,,9.692281,,,,,19.187194,,,11.164,,,,,,,,
1965,31.149,45.264552,0.149855,54.35,195.279,2.694537,10.11687,,34.929,5.727745,3.570466,1.660092,,28.704674,32.146255,,,7.772506,5.883788,5.322055,12.6987,2.510619,30.572834,4.457282
1966,,,,,,,,10.022592,,,,,19.789771,,,11.439,,,,,,,,
1966,31.936,45.684983,0.159979,54.643,197.481,2.722871,10.493441,,35.898,5.816241,3.681953,1.679717,,29.435571,32.491643,,,7.843088,5.952216,5.496271,13.065473,2.592754,31.482496,4.548972
1967,,,,,,,,10.359741,,,,,20.410677,,,11.703,,,,,,,,
1967,32.75,46.063219,0.169768,54.959,199.572,2.750091,10.889499,,36.83,5.907873,3.797877,1.699339,,30.130983,32.830181,,,7.892774,6.031353,5.67619,13.371083,2.672279,32.468953,4.661271
1968,,,,,,,,10.702281,,,,,21.05054,,,11.992,,,,,,,,
1968,33.586,46.411816,0.18262,55.214,201.538,2.774761,11.294666,,37.864,6.001858,3.918872,1.709752,,30.838302,33.168777,,,7.931193,6.104074,5.861999,13.725991,2.759277,33.552238,4.785003
1969,,,,,,,,11.048256,,,,,21.704214,,,12.252,,,,,,,,
1969,34.443,46.749289,0.214,55.461,203.584,2.795037,11.694843,,38.962,6.097042,4.04574,1.719906,,31.544266,33.517677,,,8.00427,6.1687,6.053891,14.411976,2.850066,34.523122,4.915162
1970,,,,,,,,11.396396,,,,,22.368306,,,12.514,,,,,,,,
1970,35.321,47.088862,0.248,55.632,206.13,2.809799,12.080311,,41.063,6.193379,4.179062,1.731787,,32.240827,33.883749,,12.687,8.081229,6.193064,6.257,14.753911,2.938516,35.550105,5.047404
1971,,,,,,,,11.745952,,,,,23.031441,,,12.69,,,,,,,,
1971,36.215,47.435008,0.287,55.928,208.642,2.818283,12.446444,,42.28,6.290367,4.319226,1.744882,,32.882704,34.267463,,13.21,8.115165,6.233744,6.467,15.073216,3.039443,36.820097,5.18204
1972,,,,,,,,12.097696,,,,,23.698507,,,12.861,,,,,,,,
1972,37.133,47.783006,0.332,56.097,210.737,2.821458,12.796982,,43.35,6.390573,4.46617,1.759584,,33.505406,34.664234,,13.754,8.129129,6.288168,6.684,15.367774,3.145141,38.359008,5.320148
1973,,,,,,,,12.453709,,,,,24.382513,,,13.091,,,,,,,,
