Year,United States
1930,-8.50784637
1931,-6.40566717
1932,-12.89862418
1933,-1.23624797
1934,10.80791538
1935,8.90427796
1936,12.88348715
1937,5.12461399
1938,-3.31348194
1939,8.02522741
1940,8.81690688
1941,17.71433573
1942,18.88659997
1943,17.02336003
1944,7.9525441
1945,-0.97811587
1946,-11.60557539
1947,-1.14470673
1948,4.12031599
1949,-0.55828934
1950,8.69187702
1951,8.04496342
1952,4.08395826
1953,4.68778427
1954,-0.57707769
1955,7.13477531
1956,2.13228821
1957,2.10558743
1958,-0.74178905
1959,6.93168372
1960,2.57444788
1961,2.56534349
1962,6.12963661
1963,4.35728601
1964,5.7627469
1965,6.4984542
1966,6.59534158
1967,2.74266637
1968,4.91450935
1969,3.12247737
1970,0.18461936
1971,3.29272245
1972,5.25550197
1973,5.64567976
1974,-0.54055019
1975,-0.20561919
1976,5.38803391
1977,4.62418651
1978,5.53520648
1979,3.16598823
1980,-0.25677574
1981,2.53770127
1982,-1.80301378
1983,4.58379098
1984,7.23645317
1985,4.16957535
1986,3.46265505
1987,3.45462967
1988,4.1769824
1989,3.67223784
1990,1.88596558
1991,-0.10831288
1992,3.52249718
1993,2.75179587
1994,4.02902273
1995,2.68443073
1996,3.77277269
1997,4.44712794
1998,4.48313335
1999,4.78842505
2000,4.07758576
2001,0.95553834
2002,1.70044733
2003,2.79560597
2004,3.84777169
2005,3.48354994
2006,2.78453964
2007,2.0038583
2008,0.11358725
2009,-2.57650023
2010,2.69519258
2011,1.56440686
2012,2.28911339
2013,2.1178301
2014,2.52381981
2015,2.94555046
2016,1.81945148
2017,2.4576223
2018,2.96650507
2019,2.46703756
2020,-2.21346933
2021,5.80020613
2022,1.9354959
2023,2.53537284