Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Partner Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits (IPO),Accelerator Program Type,Accelerator Next Application Deadline,Accelerator Duration (in weeks),CB Rank (Investor)
Ron Hupp,https://www.crunchbase.com/person/ron-hupp,1,,,Ron Hupp,Individual/Angel,Seed,1,,,,,,,,"251,073"
James Dunham,https://www.crunchbase.com/person/james-dunham-3,,,"New York, New York, United States",James Dunham,,,,,,,,,,,"251,074"
João Robson,https://www.crunchbase.com/person/joão-robson,,,,João Robson,,,,,,,,,,,"251,075"
Juan Abascal Heredero,https://www.crunchbase.com/person/juan-abascal-heredero,,,,Juan Abascal Heredero is currently Executive Director of Industrial Transformation and Circular Economy and member of the Executive Committe...,,,,0,,,,,,,"251,072"
Jaap Visser,https://www.crunchbase.com/person/jaap-visser,,,"Zwolle, Overijssel, The Netherlands",Jaap Visser - Founder @ Vidoze,,,,,,,,,,,"251,084"
Anton Petrov,https://www.crunchbase.com/person/anton-petrov-2,,,,Anton Petrov,,Seed,,,,,,,,,"251,090"
Cao Xia,https://www.crunchbase.com/person/cao-xia,,,,Cao Xia is the Managing Director of CPE Yuanfeng.,Investment Partner,,,1,,,,,,,"251,097"
sri putra,https://www.crunchbase.com/person/sri-putra,,,"Jakarta, Jakarta Raya, Indonesia",sri putra,,,,,,,,,,,"251,092"
Russell Goodway,https://www.crunchbase.com/person/russell-goodway,,,"Cardiff, United Kingdom, Europe",Russell Goodway,Investment Partner,,,1,,,,,,,"251,117"
Michael van Dusseldorp,https://www.crunchbase.com/person/michael-van-dusseldorp,,,,Michael van Dusseldorp,,,,,,,,,,,"251,107"
Kayla Sewell,https://www.crunchbase.com/person/kayla-sewell-9813,,,,Kayla Sewell is Director of School at The Cooper School.,,,,,,,,,,,"251,108"
Andrea Rivosecchi su Scopri di più Meccanico 3D,https://www.crunchbase.com/person/andrea-rivosecchi-su-scopri-di-più-meccanico-3d,,,"Ascoli Piceno, Marche, Italy","Well, this was the most annoying question for me when I was pursuing my engineering degree. Every time I ask someone, either my seniors or m...",,Early Stage Venture,,,,,,,,,"251,071"
Aamirkhan I. Pathan,https://www.crunchbase.com/person/aamirkhan-i-pathan,,,"Ahmedabad, Gujarat, India",Aamirkhan I. Pathan,,,,,,,,,,,"251,091"
Stuart Millington,https://www.crunchbase.com/person/stuart-millington,,,"Dudley, United Kingdom, Europe",Stuart Millington,,,,,,,,,,,"251,084"
Lorenzo Liguor,https://www.crunchbase.com/person/lorenzo-liguor,,,,"Lorenzo Liguori is the Co-founder, Product at  Sibill. Lorenzo Liguor attended at ThePowerMBA.",,,,,,,,,,,"251,128"
Brian Sage,https://www.crunchbase.com/person/brian-sage,,,"Centennial, Colorado, United States",Brian Sage Digital Transformation & Software CEO at Sage Digital.,,Seed,,,,,,,,,"251,142"
Vivek Saxena,https://www.crunchbase.com/person/vivek-saxena-ea86,,,"Gurgaon, Haryana, India",Vivek Saxena,,,,,,,,,,,"251,133"
David Hamblin,https://www.crunchbase.com/person/david-hamblin,,,,David Hamblin,Investment Partner,,,2,,,,,,,"251,134"
Derek Piunti,https://www.crunchbase.com/person/derek-piunti,,,,"As a member of the Management Services team, serving as Support Analyst, Derek is responsible for providing direct assistance to the Adams S...",,,,,,,,,,,"251,139"
Theodore Tzouros,https://www.crunchbase.com/person/theodore-tzouros,,,,"Theodore Tzouros, Executive General Manager, Chief Corporate & Investment Banking of Piraeus Bank.",Investment Partner,,,1,,,,,,,"251,145"
Gabriel Torres,https://www.crunchbase.com/person/gabriel-torres-7109,,,,Gabriel Torres,Investment Partner,,,1,,,,,,,"251,146"
Anup Yadav,https://www.crunchbase.com/person/anup-yadav-b5e2,,,"Gurgaon, Haryana, India",Anup Yadav,,,,,,,,,,,"251,140"
Nagarekawa Nobuto,https://www.crunchbase.com/person/nagarekawa-nobuto,,,,Nagarekawa Nobuto,,,,,,,,,,,"251,141"
Kevin Arvidson,https://www.crunchbase.com/person/kevin-arvidson,,,"Shenzhen, Guangdong, China",Kevin Arvidson,,Seed,,,,,,,,,"251,138"
Gary Donovitz,https://www.crunchbase.com/person/gary-donovitz,,,,Gary joined BioTE Medical as founder.,,,,,,,,,,,"251,150"
Jonathan Gordon,https://www.crunchbase.com/person/jonathan-gordon-73ff,,,"New York, New York, United States",Jonathan Gordon is a Senior Vice President of Innovation for CCA and Managing Director of Winter Street Ventures.,Investment Partner,,,1,,,,,,,"251,132"
Trine Loe,https://www.crunchbase.com/person/trine-loe,,,"Oslo, Oslo, Norway",Trine Loe is the Chair Of The Board Of Directors.,Investment Partner,,,1,,,,,,,"251,147"
Anthony Borquez,https://www.crunchbase.com/person/anthony-borquez-0a40,2,,,Anthony Borquez,Individual/Angel,,2,,,,,,,,"251,131"
clover montessori,https://www.crunchbase.com/person/clover-montessori-07e3,,,,clover montessori,,,,,,,,,,,"251,000"
King Ehiguese,https://www.crunchbase.com/person/king-ehiguese,,,"Port Harcourt, Rivers, Nigeria",King is a highly regarded Designer/Developer with a vast wealth of expertise in Computer Science. He is certified in Responsive Web Design b...,,,,,,,,,,,"251,127"
Alexey Wolfson,https://www.crunchbase.com/person/alexey-wolfson-fc77,,,,Alexey Wolfson,,,,,,,,,,,"251,144"
Ryan Goodbrand,https://www.crunchbase.com/person/ryan-goodbrand,,,"London, England, United Kingdom","Ryan Goodbrand joined Charterhouse in 2004.Prior to this he spent six years at Charterhouse Bank and five years at PricewaterhouseCoopers, w...",,,,,,,,,,,"251,149"
Robert Simmons,https://www.crunchbase.com/person/robert-simmons-5e30,,,,Robert Simmons,Investment Partner,,,1,,,,,,,"251,155"
David Laflamme,https://www.crunchbase.com/person/david-laflamme-ac75,,,"Quebec, Canada, North America","David Laflamme, P. Eng. is the Chief Technology Officer - Laflamme Aero Inc.",,,,,,,,,,,"251,135"
Quanling Zhang,https://www.crunchbase.com/person/quanling-zhang,2,,"China, Asia","Quanling Zhang has been serving as independent non-executive director of Shougang Concord International Enterprises since January 6, 2018. S...",Individual/Angel,,2,,,,,,,,"251,156"
Roshan Shastri,https://www.crunchbase.com/person/roshan-shastri,,,,Roshan Shastri,,,,,,,,,,,"251,148"
Laura Rous,https://www.crunchbase.com/person/laura-rous,,,"London, England, United Kingdom",Laura Rous,,,,,,,,,,,"251,139"
Daniel Hemmert J.D.,https://www.crunchbase.com/person/daniel-hemmert-j-d,,,"Salt Lake City, Utah, United States",Daniel Hemmert J.D. served as Managing Director and CFO at Dakota Pacific Real Estate Partners.,,,,,,,,,,,"251,153"
Kato Hiroaki,https://www.crunchbase.com/person/kato-hiroaki,,,"Tokyo, Japan, Asia",Kato Hiroaki,,,,,,,,,,,"251,136"
Amit Das,https://www.crunchbase.com/person/amit-das-dd2b,,,"Mumbai, Maharashtra, India",Amit Das,,,,,,,,,,,"251,143"
Tarun Gupta,https://www.crunchbase.com/person/tarun-gupta-798d,1,,"Bangalore, Karnataka, India","I’m the founder of HiKing Media Tech. Our team is running a walk & earn app: HiKing, which highly integrates fit-tech with shopping, motivat...",Individual/Angel,,1,,,,,,,,"251,154"
Steve Swaney,https://www.crunchbase.com/person/steve-swaney,,,,Steve Swaney,,,,,,,,,,,"251,155"
James Stubblefield,https://www.crunchbase.com/person/james-stubblefield-70d2,,,,James Stubblefield,,,,,,,,,,,"251,159"
Sunitaben Pujara,https://www.crunchbase.com/person/sunitaben-pujara,,,"Ahmedabad, Gujarat, India",Sunita is a kind hearted person and she is silent partner in CADBricks,,Private Equity,,,,,,,,,"251,157"
Kiarash Ravaghi Aval,https://www.crunchbase.com/person/kiarash-ravaghi-aval,,,,Kiarash Ravaghi Aval,,,,,,,,,,,"251,151"
Fermín Zelada,https://www.crunchbase.com/person/fermín-zelada,,,"Turkey, Europe",colaboración y estrategia en equipos internacionales y multidisciplinares.,,,,,,,,,,,"251,156"
Emile Karam,https://www.crunchbase.com/person/emile-karam-f2ee,,,"Chantilly, Virginia, United States",Emile Karam,,,,,,,,,,,"251,138"
Eduardo Gutierrez-Garcia,https://www.crunchbase.com/person/eduardo-gutierrez-garcia,,,"Cape Town, NA - South Africa, South Africa",Eduardo Gutierrez-Garcia,Investment Partner,,,1,,,,,,,"251,161"
Thomas Waldman,https://www.crunchbase.com/person/thomas-waldman,,,"San Diego, California, United States",Thomas Waldman is the Shareholder at Stradling Yocca Carlson & Rauth. Thomas Waldman attended Harvard University.,,,,,,,,,,,"251,161"
Valerie Beckett,https://www.crunchbase.com/person/valerie-beckett-9d84,,,"Arizona, United States, North America","Since 2016, Valerie has worked as the County Manager's Special Assistant. She has given her all to the important projects and goals set fort...",,,,,,,,,,,"251,061"
Junpei Yamashita,https://www.crunchbase.com/person/junpei-yamashita,,,"Tokyo, Tokyo, Japan",Mr. Junpei Yamashita serves as Associate of Z Venture Capital.,Investment Partner,,,1,,,,,,,"251,167"
Jose Henrique Medeiros Felipetto,https://www.crunchbase.com/person/jose-henrique-medeiros-felipetto,,,"Curitiba, Parana, Brazil",Jose Henrique Medeiros Felipetto,,,,,,,,,,,"251,168"
Alexandre Parpinelli,https://www.crunchbase.com/person/alexandre-parpinelli,,,"São Paulo, Sao Paulo, Brazil",Alexandre Parpinelli,,,,,,,,,,,"251,186"
Mikaël Le Gallo,https://www.crunchbase.com/person/mikaël-le-gallo,,,,Mikaël Le Gallo,,,,,,,,,,,"251,172"
Elmer de Vries,https://www.crunchbase.com/person/elmer-de-vries,,,"Amsterdam, Noord-Holland, The Netherlands",Elmer de Vries,,,,,,,,,,,"251,174"
Michael Matkins,https://www.crunchbase.com/person/michael-matkins,,,,Michael Matkins,,,,,,,,,,,"251,176"
Robin Whitehead,https://www.crunchbase.com/person/robin-whitehead,,,"Leicester, United Kingdom, Europe",Robin Whitehead,,,,,,,,,,,"251,187"
Bruce Lawrence,https://www.crunchbase.com/person/bruce-lawrence-b7fa,,,,Bruce Lawrence,Investment Partner,,,1,,,,,,,"251,177"
Jörgen Hallgren,https://www.crunchbase.com/person/jörgen-hallgren,,,,"Jörgen Hallgren, FBG Invest.",Investment Partner,,,1,,,,,,,"251,178"
Luciano Albuquerque,https://www.crunchbase.com/person/luciano-albuquerque,,,"Londrina, Parana, Brazil",Luciano Albuquerque,,,,,,,,,,,"251,164"
Uchechukwu Jude,https://www.crunchbase.com/person/edeh-uchechukwu,,,,Edeh Uchechukwu Jude,,,,,,,,,,,"251,185"
Davut Kohen,https://www.crunchbase.com/person/davut-kohen,1,,,Davut Kohen,Individual/Angel,,1,,,,,,,,"251,165"
Muhammad Yazdanie,https://www.crunchbase.com/person/muhammad-yazdanie,,,,Muhammad Yazdanie,,Early Stage Venture,,,,,,,,,"251,180"
Dave Butler,https://www.crunchbase.com/person/dave-butler-d45f,,,"Toronto, Ontario, Canada",Dave Butler is the Co-Founder of BM Select at. Dave Butler  attended University of Toronto - Rotman School of Management.,,,,,,,,,,,"251,182"
Nasar Ibrahim,https://www.crunchbase.com/person/nasar-ibrahim,,,"Kozhikode, Kerala, India",Nasar Ibrahim is an Indian Educational revivalist and Information scientist.,,Private Equity,,,,,,,,,"251,174"
Maria T. Scherer,https://www.crunchbase.com/person/maria-t-scherer,,,,"Ms. Scherer currently serves as Vice President and Assistant Secretary of ACRE and may from time to time serve as an officer, director or pr...",,,,,,,,,,,"251,183"
Lokanada Reddy,https://www.crunchbase.com/person/lokanada-reddy,,,"Bengaluru, Karnataka, India",Lokanada Reddy,,,,,,,,,,,"251,162"
Nicole Dominguez,https://www.crunchbase.com/person/nicole-dominguez,,,"Newyork, Argyll and Bute, United Kingdom",Nicole Dominguez - Developer @ Dtime,,,,,,,,,,,"251,169"
Bertrand Gros,https://www.crunchbase.com/person/bertrand-gros,,,,Bertrand Gros,,,,,,,,,,,"251,182"
Larry Overton,https://www.crunchbase.com/person/larry-overton-991d,,,,Larry Overton founded Larry J. Overton and Associates in September of 1984. Overton and Associates is a full service lobbying and consulting...,,,,,,,,,,,"251,158"
Nickolas Nesland,https://www.crunchbase.com/person/nickolas-nesland,,,"Auburn, Washington, United States",Nickolas Nesland,,,,,,,,,,,"251,188"
Javier Jiménez Marco,https://www.crunchbase.com/person/javier-jim-nez-marco,,,"Valencia, Comunidad Valenciana, Spain",Javier Jiménez Marco is  Managing Director  at Lanzadera.,Investment Partner,,,1,,,,,,,"251,170"
Adamo Gomes,https://www.crunchbase.com/person/adamo-gomes,,,,Adamo Gomes,,,,,,,,,,,"251,191"
Antonio Sinicropi,https://www.crunchbase.com/person/antonio-sinicropi,,,,Antonio Sinicropi,,,,,,,,,,,"251,171"
Luke Tripodi,https://www.crunchbase.com/person/luke-tripodi-8fa9,,,,Luke Tripodi,Investment Partner,,,1,,,,,,,"251,167"
Azhar Hussain,https://www.crunchbase.com/person/azhar-hussain-8946,1,,"London, England, United Kingdom",Azhar Hussain,Individual/Angel,,1,,,,,,,,"251,166"
John Wheeler,https://www.crunchbase.com/person/john-wheeler-df00,,,,John Wheeler,,,,,,,,,,,"251,159"
Virginia Sanchez Muñoz,https://www.crunchbase.com/person/virginia-sanchez-munoz,,,"Valencia, Comunidad Valenciana, Spain",Virginia Sanchez Muñoz,,,,,,,,,,,"251,160"
Lisa Iltis,https://www.crunchbase.com/person/lisa-iltis,,,,Lisa Iltis,,,,,,,,,,,"251,163"
Chen Yanbo,https://www.crunchbase.com/person/chen-yanbo,,,,Chen Yanbo is the head of Sinovac Technology Investment.,Investment Partner,,,1,,,,,,,"251,189"
Harry Park,https://www.crunchbase.com/person/harry-park,,,"San Francisco Bay Area, California, United States",Harry Park,,"Early Stage Venture, Late Stage Venture",,,,,,,,,"251,173"
Gabriel Vieira,https://www.crunchbase.com/person/gabriel-vieira-1bad,,,"São Paulo, Sao Paulo, Brazil","Bachelor’s in economics from São Paulo School of Economics - FGV. Before joining A5, Gabriel has worked in a couple of renowned Brazilian in...",,,,,,,,,,,"251,178"
Vosik Shamsiev,https://www.crunchbase.com/person/vosik-shamsiev,,,"Toronto, Ontario, Canada",Vosik Shamsiev,,,,,,,,,,,"251,179"
Vladimir Ashurkov,https://www.crunchbase.com/person/vladimir-ashurkov,1,,,Vladimir Ashurkov,Individual/Angel,Seed,1,,,,,,,,"251,172"
Yoshihiko Kinoshita,https://www.crunchbase.com/person/yoshihiko-kinoshita-fb7a,,,,Yoshihiko Kinoshita joined Mugenup as Founder.,Investment Partner,,,1,,,,,,,"251,190"
Dot Simple,https://www.crunchbase.com/person/dot-simple-ced4,,,,"Access all the content creation tools you'll ever require, united within one comprehensive solution. AI generates your text, .simple designs...",,,,,,,,,,,"251,216"
Chad Taylor,https://www.crunchbase.com/person/chad-taylor-3,,,, Founder  at United Fiber & Data ,,,,,,,,,,,"251,207"
Hemanth Kavuluru,https://www.crunchbase.com/person/hemanth-kavuluru-1ab4,1,,,Hemanth Kavuluru,Individual/Angel,,1,,,,,,,,"251,199"
Kelvin Yu,https://www.crunchbase.com/person/kelvin-yu-1f91,,,,"Kelvin Yu, senior managing director, Teachers’ Venture Growth",Investment Partner,,,1,,,,,,,"251,200"
Bob Alliston,https://www.crunchbase.com/person/bob-alliston,,,"Thunder Bay, Ontario, Canada",Bob Alliston,,,,,,,,,,,"251,204"
Hervé Piedvache,https://www.crunchbase.com/person/herv-piedvache,,,"Paris, Ile-de-France, France","Hervé is passionate about technology and has spent the past 24 years developing software solutions, web services and mobile apps for the mos...",,,,,,,,,,,"251,198"
Johan Botterman,https://www.crunchbase.com/person/johan-botterman,,,,Johan Botterman,Investment Partner,,,1,,,,,,,"251,199"
Tracy MacMillan,https://www.crunchbase.com/person/tracy-macmillan,,,"St. Petersburg, Florida, United States",Tracy MacMillan,,,,,,,,,,,"251,218"
Wim De Vylder,https://www.crunchbase.com/person/wim-de-vylder,,,,"Wim is an accomplished management consultant with excellent business acumen and specialist skills in strategy, governance, corporate finance...",,,,,,,,,,,"251,214"
0x Ashish,https://www.crunchbase.com/person/0x-ashish,1,,,0x Ashish,Individual/Angel,,1,,,,,,,,"251,195"
Philippe BILLIALD,https://www.crunchbase.com/person/philippe-billiald,,,"Paris, Ile-de-France, France",Philippe BILLIALD - Scientific Advisor @ Acticor Biotech,,,,,,,,,,,"251,196"
Oscar Pap,https://www.crunchbase.com/person/oscar-pap,,,,Oscar Pap,,,,,,,,,,,"251,194"
Armen Kherlopian,https://www.crunchbase.com/person/armen-kherlopian-607a,1,,,Armen Kherlopian,Individual/Angel,,1,,,1,,,,,"251,193"
John Trang,https://www.crunchbase.com/person/john-trang-d365,,,,"John Trang, Partner at PCP.",Investment Partner,,,1,,,,,,,"251,214"
Yingli Hong,https://www.crunchbase.com/person/yingli-hong,,,,Yingli Hong,,,,,,,,,,,"251,211"
Andrea Carboni,https://www.crunchbase.com/person/andrea-carboni,,,,Andrea Carboni,,,,,,,,,,,"251,225"
Jack Hartfelder,https://www.crunchbase.com/person/jack-hartfelder,,,"New York, New York, United States","Jack Hartfelder is a Vice President and Director based in New York, having joined VSS in 2001. Mr. Hartfelder’s primary responsibilities inc...",,,,,,,,,,,"251,192"
Farrell Tyson,https://www.crunchbase.com/person/farrell-tyson,,,,Farrell Tyson,Investment Partner,,,1,,,,,,,"251,197"
Mohammed Siam,https://www.crunchbase.com/person/mohammed-siam,,,,Mohammed Siam,,,,,,,,,,,"251,213"
J. Martial,https://www.crunchbase.com/person/j-martial,,,,J. Martial,,,,,,,,,,,"251,217"
Claire McGowan,https://www.crunchbase.com/person/claire-mcgowan,,,"Canterbury, New Zealand, Oceania",Claire McGowan,,,,,,,,,,,"251,205"
Barry Bowden,https://www.crunchbase.com/person/barry-bowden,,,,Barry Bowden,Investment Partner,,,1,,,,,,,"251,203"
Matthew Bingham,https://www.crunchbase.com/person/matthew-bingham-293f,,,"France, Europe",Matthew Bingham,,,,,,,,,,,"251,215"
PTE UNI,https://www.crunchbase.com/person/pte-uni,,,,PTE UNI,,,,,,,,,,,"251,200"
Greg Wempe,https://www.crunchbase.com/person/greg-wempe,,,"Austin, Texas, United States",Greg Wempe,,,,,,,,,,,"251,208"
Philip Abdon,https://www.crunchbase.com/person/philip-abdon,2,,,Philip Abdon,Individual/Angel,,1,,,,,,,,"251,209"
Lee Spencer,https://www.crunchbase.com/person/lee-spencer,,,"Hemel Hempstead, Hertford, United Kingdom",Lee Spencer,,,,,,,,,,,"251,201"
Alan Pilgrim,https://www.crunchbase.com/person/alan-pilgrim,,,,"Alan is currently Chairman of Synexus, with over 30 years’ experience focusing on international pharmaceutical and healthcare services. He h...",,,,,,,,,,,"251,203"
Liu Zhong,https://www.crunchbase.com/person/liu-zhong-39ee,,,,Liu Zhong,Investment Partner,,,1,,,,,,,"251,218"
Francesc Casabella,https://www.crunchbase.com/person/francesc-casabella,,,"Barcelona, Catalonia, Spain",Francesc Casabella,Investment Partner,,,1,,,,,,,"251,220"
Carlos Alberto Dias,https://www.crunchbase.com/person/carlos-alberto-dias,,,"São Paulo, Sao Paulo, Brazil",Carlos Alberto Dias,,,,,,,,,,,"251,229"
Prince Fahim,https://www.crunchbase.com/person/prince-fahim,,,,Musician,,,,,,,,,,,"251,221"
Nana Shin,https://www.crunchbase.com/person/nana-shin,1,1,,Nana Shin,Individual/Angel,Seed,1,,,1,1,,,,"251,243"
Nchila Mokoena,https://www.crunchbase.com/person/nchila-mokoena,,,"Johannesburg, NA - South Africa, South Africa",Nchila Mokoena is the CEO of Budgie SA.,,,,,,,,,,,"251,238"
Anders Nyström,https://www.crunchbase.com/person/anders-nyström,,,,Anders Nyström,Investment Partner,,,1,,,,,,,"251,245"
John Christofilos,https://www.crunchbase.com/person/john-christofilos-5a70,,,"Toronto, Ontario, Canada",John Christofilos,,,,,,,,,,,"251,229"
Darren Marshall,https://www.crunchbase.com/person/darren-marshall-a46b,,,"United States, North America","Darren is an entrepreneurial CEO, driven to deliver transformational growth. He crafts extraordinary brands, products and experiences, and d...",,,,,,,,,,,"251,230"
Scott McLallen,https://www.crunchbase.com/person/scott-mclallen,,,"New York, New York, United States",Managing Director at Leeds Weld & Co.,,,,,,,,,,,"251,232"
David Chermont,https://www.crunchbase.com/person/david-chermont,,,"London, England, United Kingdom","David Chermont, CEO & Founder of Inbound Capital.",Investment Partner,,,1,,,,,,,"251,222"
Roman Melinaidre,https://www.crunchbase.com/person/roman-melinaidre,,,"Paris, Ile-de-France, France",Roman Melinaidre - Investment Director @ InfraVia Capital Partners,,,,,,,,,,,"251,223"
Purushotham Kudva,https://www.crunchbase.com/person/purushotham-kudva,,,"Bengaluru, Karnataka, India",Purushotham Kudva,,,,,,,,,,,"251,260"
Guy Sela,https://www.crunchbase.com/person/guy-sela-b28b,,,,Guy Sela is the Founder and CEO of SMART Fertilizer Management.,,,,,,,,,,,"251,239"
Glenn Beyerl,https://www.crunchbase.com/person/glenn-beyerl,1,,,Glenn Beyerl,Individual/Angel,,1,,,,,,,,"251,225"
Sejal Shah,https://www.crunchbase.com/person/sejal-shah,,,,"Sejal provides support for separate account and commingled fund transactions, assists in cash and asset reconciliation activities and manage...",,,,,,,,,,,"251,227"
Cill Skabo,https://www.crunchbase.com/person/cill-skabo-38b6,,,"Dickinson, North Dakota, United States",Cill Skabo is the Chief Marketing Officer at Bravera Bank.,,,,,,,,,,,"251,228"
Janak Kansal,https://www.crunchbase.com/person/janak-kansal-33db,,,,Janak Kansal,,,,,,,,,,,"251,247"
Samuel Haines,https://www.crunchbase.com/person/samuel-haines,,,"London, England, United Kingdom",Samuel Haines is the Account Manager at Clarilis,,,,,,,,,,,"251,255"
Linda Cowan,https://www.crunchbase.com/person/linda-cowan-a187,,,,Linda Cowan,Investment Partner,,,1,,,,,,,"251,242"
Kumar Patel,https://www.crunchbase.com/person/kumar-patel,,,"San Francisco, California, United States",I specialize in building fault tolerant distributed systems that scale across organizations and for end customers. My key strengths include ...,,,,,,,,,,,"251,233"
Ethan Auslander,https://www.crunchbase.com/person/ethan-auslander,1,,,Ethan Auslander,Individual/Angel,,1,,,1,,,,,"251,237"
Todd Bracher,https://www.crunchbase.com/person/todd-bracher,,,"New York, New York, United States",Todd Bracher is a visionary Industrial Designer and Advisor.  His studio guides some of the world’s leading brands to realize strategic dif...,,,,,,,,,,,"251,256"
Péter Balázsik,https://www.crunchbase.com/person/péter-balázsik,,,"Hungary, Europe",Péter Balázsik - Co-Founder & Chairman of the Board @ Talentuno,,,,,,,,,,,"251,248"
Miss A Fallon,https://www.crunchbase.com/person/miss-a-fallon,,,,Miss A Fallon,,,,,,,,,,,"251,249"
Russel Marvin,https://www.crunchbase.com/person/russel-marvin,,,"Potsdam, New York, United States",Russel Marvin,,,,,,,,,,,"251,250"
James Kimmel,https://www.crunchbase.com/person/james-kimmel,1,1,"Seattle, Washington, United States",James Kimmel,Individual/Angel,Seed,1,,,,1,,,,"251,246"
Tsubota Tomo,https://www.crunchbase.com/person/tsubota-tomo,2,,,"He is responsible for launching many new businesses such as livedoor, DeNA, and design organizations that specialize in UIUX design area. La...",Individual/Angel,,2,,,,,,,,"251,243"
Angus McMillian,https://www.crunchbase.com/person/angus-mcmillian,1,,,Angus McMillian,Individual/Angel,Seed,1,,,,,,,,"251,241"
Dr. Sue Raftery,https://www.crunchbase.com/person/dr-sue-raftery,,,"Cleveland, Ohio, United States",Dr. Sue Raftery,,,,,,,,,,,"251,234"
Naveen Raju,https://www.crunchbase.com/person/naveen-raju-2ec5,1,,,Naveen Raju,Individual/Angel,,1,,,,,,,,"251,252"
Tomáš Vala,https://www.crunchbase.com/person/tomáš-vala,,,,Tomáš Vala,,,,,,,,,,,"251,254"
Doug Petillo,https://www.crunchbase.com/person/doug-petillo,,,"Philadelphia, Pennsylvania, United States",Doug Petillo - Board Member @ TrueCommerce,Investment Partner,,,2,,,,,,,"251,256"
Sujuan Ba,https://www.crunchbase.com/person/sujuan-ba-bc30,,,,Sujuan Ba,Investment Partner,,,1,,,,,,,"251,257"
Bryan Wu,https://www.crunchbase.com/person/bryan-wu-2,,,"Taipei, T'ai-pei, Taiwan",Bryan Wu,,,,,,,,,,,"251,263"
Marcus Cornaro,https://www.crunchbase.com/person/marcus-cornaro,,,,Marcus Cornaro,Investment Partner,,,1,,,,,,,"251,266"
Liu Mou,https://www.crunchbase.com/person/liu-mou,1,,,Liu Mou,Individual/Angel,,1,,1,,,,,,"251,272"
Hyundai Ngoi sao,https://www.crunchbase.com/person/hyundai-ngoi-sao,,,"Vietnam, Asia",Hyundai Ngoi sao,,"Crowdfunding, Early Stage Venture, Post-Ipo, Private Equity",,,,,,,,,"251,267"
Laura Cical,https://www.crunchbase.com/person/laura-cical,,,,Laura Cical,,Seed,,,,,,,,,"251,268"
Chris Crosby,https://www.crunchbase.com/person/chris-crosby-283e,,,"London, England, United Kingdom",Chris Crosby,,,,,,,,,,,"251,265"
Pierre-Jeremy Gardiner,https://www.crunchbase.com/person/pierre-jeremy-gardiner,,,"Marseille, Provence-Alpes-Cote d'Azur, France",Pierre-Jeremy Gardiner is the Gladskin Country Manager France of MICREOS. He was a Co-Founder at Rendezvouscheznous.com. He attended X-HEC E...,,,,,,,,,,,"251,266"
Công Ty Xây Dựng Cửu Long CLC Công Ty Xây Dựng Cửu Long CLC,https://www.crunchbase.com/person/công-ty-xây-dựng-cửu-long-clc-công-ty-xây-dựng-cửu-long-clc,,,"Vietnam, Asia",Xây Dựng Cửu Long CLC (CuuLongCons - CLC) là công ty thiết kế xây dựng uy tín tại TPHCM và các tỉnh phía nam. Chúng tôi chuyên cung cấp các ...,,Venture,,,,,,,,,"251,261"
